nom-course,prix-course,distance-course,condition-course,mode-course,depart-course
LUCON 03/07/22 C7,12 000E,3 025m,Apprentis-lads-jockeys Pour 5 ans n'ayant pas gagne 30.000. - Recul de 25 m. a  17.500. ,Monte,Volte
LUCON 03/07/22 C8,5 000E,3 025m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 64.000. - Recul de 25 m. a  32.000. ,Attele,Volte
MOLIERES 03/07/22 C1,10 000E,2 525m,Course R Course "a reclamer" Pour 5 6 et 7 ans n'ayant pas gagne 70.000 a  reclamer pour 6.000 ou 8.000. - Avance de 25 m. aux chevaux a  reclamer pour 6.000. ,Attele,Volte
MOLIERES 03/07/22 C3,5 000E,2 525m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 58.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas gagne sept courses. ,Attele,Volte
MOULINS-LA-MARCHE 03/07/22 C1,12 000E,2 225m,Pour 3 ans n'ayant pas gagne 1.500. ,Attele,Volte
MOULINS-LA-MARCHE 03/07/22 C2,12 000E,2 225m,Pour 3 ans n'ayant pas gagne 1.500. ,Attele,Volte
MOULINS-LA-MARCHE 03/07/22 C3,13 000E,2 225m,Pour 3 ans n'ayant pas gagne 3.500. ,Monte,Volte
MOULINS-LA-MARCHE 03/07/22 C4,12 000E,2 800m,Pour 4 ans n'ayant pas gagne 11.400. - Recul de 25 m. a  4.600. ,Attele,Volte
MOULINS-LA-MARCHE 03/07/22 C5,12 000E,2 800m,Pour 4 ans n'ayant pas gagne 11.400. - Recul de 25 m. a  4.600. ,Attele,Volte
MOULINS-LA-MARCHE 03/07/22 C6,19 000E,2 800m,Pour 6 a  9 ans inclus n'ayant pas gagne 128.000. - Recul de 25 m. a  66.000. ,Attele,Volte
MOULINS-LA-MARCHE 03/07/22 C7,16 000E,2 800m,Pour 6 7 et 8 ans n'ayant pas gagne 89.000. - Recul de 25 m. a  44.000. ,Monte,Volte
