Nom,Prix,Distance,Mode course,Conditions,Depart
C7,13 000E,2 800m,Attele,Challenge GROUPAMA Apprentis - lads-jockeys Pour 6 ans n'ayant pas gagne 86.000. - Recul de 25 m. a  43.000. ,Volt
C8,21 000E,2 800m,Attele,Course Europeenne Pour 7 8 et 9 ans n'ayant pas gagne 200.000. - Recul de 25 m. a  100.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I. ,Volt
C9,13 000E,2 800m,Attele,Pour 4 ans n'ayant pas gagne 10.500. - Recul de 25 m. a  5.100. ,Volt
C1,18 000E,2 450m,Monte,Pour pouliches de 3 ans n'ayant pas gagne 5.000. Avantage de poids (voir Conditions Generales). ,Volt
C2,6 000E,2 200m,Attele,Amateurs Depart a  l'autostart Pour 6 a  9 ans inclus n'ayant pas gagne 101.000. ,Autostart
C3,18 000E,2 450m,Monte,Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 5.000. Avantage de poids (voir Conditions Generales). ,Volt
C4,23 000E,2 200m,Attele,Course Nationale LeTROT Open des Regions - Basse-Normandie - 3 ans Course qualificative Depart a  l'autostart Pour 3 ans n'ayant pas gagne 12.500. ,Autostart
C5,23 000E,2 450m,Attele,Course Nationale LeTROT Open des Regions - Basse-Normandie - 4 ans Course qualificative Pour 4 ans n'ayant pas gagne 34.000. ,Volt
C6,20 000E,2 450m,Monte,Apprentis-lads-jockeys Pour juments de 5 ans n'ayant pas gagne 40.000. Poids minimum (voir Conditions Generales). ,Volt
C7,23 000E,2 200m,Attele,Depart a  l'autostart Pour juments de 6 ans n'ayant pas gagne 72.000. ,Autostart
C8,26 000E,2 450m,Attele,Pour chevaux entiers et hongres de 5 a  8 ans inclus n'ayant pas gagne 123.000. ,Volt
C1,10 000E,2 575m,Attele,Course "a reclamer" Pour 3 ans n'ayant pas gagne 10.000 a  reclamer pour 7.000 ou 10.000. - Avance de 25 m. aux poulains et pouliches a  reclamer pour 7.000. ,Volt
C2,10 000E,2 550m,Attele,Challenge de l'Avenir Apprentis-lads-jockeys Course "a reclamer" Pour 5 ans n'ayant pas gagne 56.000. - Recul de 25 m. a  28.000. Au 1er echelon les chevaux sont a  reclamer pour 6.000 au 2eme echelon pour 9.000. ,Volt
C3,10 000E,2 400m,Attele,Depart a  l'autostart Course "a reclamer" Pour 4 ans n'ayant pas gagne 13.000 a  reclamer pour 9.000. ,Autostart
C4,14 000E,2 550m,Attele,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 21.500. - Recul de 25 m. a  9.200. ,Volt
C5,21 000E,2 400m,Attele,Depart a  l'autostart Pour 5 a  9 ans inclus n'ayant pas gagne 135.000. ,Autostart
C6,10 000E,2 575m,Attele,Course "a reclamer" Pour 6 et 7 ans n'ayant pas gagne 81.000 a  reclamer pour 7.000 ou 9.000. - Avance de 25 m. aux chevaux a  reclamer pour 7.000. ,Volt
C7,3 000E,2 400m,Attele,Amateurs Course "a reclamer" Depart a  l'autostart Pour 6 7 et 8 ans n'ayant pas gagne 55.000 les 6 ans a  reclamer pour 6.000 les 7 ans a  reclamer pour 5.000 les 8 ans a  reclamer pour 4.000. ,Autostart
C1,23 000E,2 650m,Attele,Depart a  l'autostart Pour 7 ans n'ayant pas gagne 108.000. ,Autostart
C2,22 000E,2 650m,Attele,Depart a  l'autostart Pour juments de 6 et 7 ans n'ayant pas gagne 76.000. ,Autostart
C3,22 000E,2 650m,Attele,Depart a  l'autostart Pour chevaux entiers et hongres de 6 et 7 ans n'ayant pas gagne 76.000. ,Autostart
